City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
162,Zabol,AF,32.25,67.25,41.43,56,3,9.98,clear sky
163,Tomatlan,MX,19.9333,-105.25,78.33,46,0,1.97,clear sky
164,Kaitangata,NZ,-46.2817,169.8464,54.97,77,100,4.16,overcast clouds
165,Namibe,AO,-15.1961,12.1522,73.9,71,84,10.98,broken clouds
166,Mani,CO,4.8172,-72.2886,94.15,30,30,14.74,scattered clouds
167,Coquimbo,CL,-29.9533,-71.3436,69.53,64,75,13.8,broken clouds
168,Jasper,US,37.2001,-94.3502,41.02,49,0,8.99,clear sky
169,Bardsir,IR,29.9227,56.5743,51.85,36,95,7.56,overcast clouds
170,Bethel,US,41.3712,-73.414,20.48,83,100,5.99,haze
171,Falmouth,GB,50.1544,-5.0711,52.79,93,75,9.22,broken clouds
172,Qaanaaq,GL,77.484,-69.3632,-8.14,58,76,9.26,broken clouds
173,Ban Nahin,LA,18.2418,104.2122,75.4,50,94,3.49,overcast clouds
174,Luderitz,NA,-26.6481,15.1594,72.82,69,57,15.21,broken clouds
175,San Patricio,US,28.017,-97.5169,57.87,38,62,3.36,broken clouds
176,Dikson,RU,73.5069,80.5464,2.39,93,98,21.32,overcast clouds
177,Torit,SS,4.4133,32.5678,91.45,17,0,6.38,clear sky
178,Shirokiy,RU,49.758,129.523,-25.83,100,10,5.39,clear sky
179,Marsh Harbour,BS,26.5412,-77.0636,60.35,59,93,32.48,overcast clouds
180,Gorontalo,ID,0.5412,123.0595,73.81,95,66,3.31,broken clouds
181,Ust-Kuyga,RU,70.0167,135.6,-36.47,100,100,4.41,overcast clouds
182,Liverpool,GB,53.4106,-2.9779,50.76,72,0,15.01,clear sky
183,Jiayuguan,CN,39.8167,98.3,16.52,56,0,4.23,clear sky
184,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,17.27,few clouds
185,Guerrero Negro,MX,27.9769,-114.0611,62.64,41,2,2.46,clear sky
186,East London,ZA,-33.0153,27.9116,74.34,68,40,16.11,scattered clouds
187,Agadez,NE,19.75,10.25,69.33,12,3,11.83,clear sky
188,Grindavik,IS,63.8424,-22.4338,36.07,87,75,21.85,light rain
189,Ixtapa,MX,20.7,-105.2,79.36,38,0,2.62,clear sky
190,Port Lincoln,AU,-34.7333,135.8667,64.42,84,11,13.65,few clouds
191,Nekrasovka,RU,48.3525,135.2325,-16.58,76,70,4.47,broken clouds
192,Rosetown,CA,51.5501,-108.0014,24.78,80,100,4.61,overcast clouds
193,Cravo Norte,CO,6.3017,-70.2041,92.73,34,22,14.18,few clouds
194,Ihosy,MG,-22.4,46.1167,77.72,56,9,7.87,clear sky
195,Mango,US,27.9797,-82.3065,53.51,58,0,18.41,clear sky
196,Bonthe,SL,7.5264,-12.505,83.86,66,49,13.73,scattered clouds
197,Huarmey,PE,-10.0681,-78.1522,74.8,73,96,10.16,overcast clouds
198,Puerto Escondido,MX,15.85,-97.0667,83.01,47,2,4.27,clear sky
199,Maple Creek,CA,49.9168,-109.4848,37.81,79,100,3.44,overcast clouds
200,Sam Chuk,TH,14.7576,100.0899,85.06,69,88,11.14,overcast clouds
201,Kloulklubed,PW,7.0419,134.2556,77.5,78,99,7.87,overcast clouds
202,Bathsheba,BB,13.2167,-59.5167,83.01,77,40,19.57,scattered clouds
203,Akureyri,IS,65.6835,-18.0878,26.53,59,0,10.36,clear sky
204,Pangnirtung,CA,66.1451,-65.7125,-14.8,76,100,6.91,light snow
205,Synya,RU,65.3718,58.0387,10.09,91,100,11.74,overcast clouds
206,Cidreira,BR,-30.1811,-50.2056,74.64,58,42,12.17,scattered clouds
207,Manyana,BW,-23.4,21.7167,78.71,54,70,18.25,broken clouds
208,Boralday,KZ,43.3578,76.8594,33.66,93,100,6.71,fog
209,Saint-Philippe,RE,-21.3585,55.7679,80.19,85,78,9.78,light rain
210,Mandurah,AU,-32.55,115.7,78.22,58,48,8.79,scattered clouds
