City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
125,Cabadiangan,PH,77.54,overcast clouds,9.7531,122.4739,Kipot
126,Emerald,AU,77.14,scattered clouds,-23.5333,148.1667,The Irish Village
127,Port Moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
128,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
129,Loiza,PR,87.08,scattered clouds,18.4313,-65.8802,Malibu Beachfront
130,Belmonte,BR,77.5,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
132,Carire,BR,85.73,overcast clouds,-3.9506,-40.4733,POUSADA PAIVA
133,Bambous Virieux,MU,82.65,light rain,-20.3428,57.7575,Casa Tia Villa
135,Maues,BR,77.63,overcast clouds,-3.3836,-57.7186,Hotel Miramar
136,Sungaipenuh,ID,65.5,moderate rain,-2.0833,101.3833,penginapan citra alam
138,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
139,Mitsamiouli,KM,84.49,moderate rain,-11.3847,43.2844,Foyer ADM
140,Kulhudhuffushi,MV,81.09,broken clouds,6.6221,73.07,Haajy Guest House 1
146,Kapaa,US,73.72,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
149,Necochea,AR,88.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
150,Rio Gallegos,AR,68.05,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
153,Ishigaki,JP,67.98,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
154,Pitimbu,BR,84.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
155,Marzuq,YE,66.51,overcast clouds,14.4,46.4667,
158,Kourou,GF,86.05,broken clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
159,Victoria,HK,64.26,overcast clouds,22.2855,114.1577,Mini Hotel Central
160,Vila Velha,BR,89.55,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
161,Kieta,PG,79.32,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
163,Tomatlan,MX,78.33,clear sky,19.9333,-105.25,El Salvial
